NASA Surface meteorology and Solar Energy: Daily Averaged Data
Dates (month/day/year): 07/01/1983 through 06/30/2005
Location: Latitude 34.593   Longitude 51.051, Qom, Navaran
Elevation (meters): Average for one degree lat/lon region = 1370   Site = na
Climate zone: 4 (reference Briggs et al, http://www.energycodes.gov)
Parameter(s):
swv_dwn     Average Insolation Incident On A Horizontal Surface (kWh/m^2/day) 

YEAR MO DY swv_dwn
1986 01 25    3.85
1986 01 26    3.76
1986 01 27    4.12
1986 01 28    3.54
1986 01 29    4.16
1986 01 30    2.77
1986 01 31    2.43
1986 02 01    1.37
1986 02 02    3.87
1986 02 03    4.40
1986 02 04    2.41
1986 02 05    3.82
1986 02 06    1.70
1986 02 07    3.19
1986 02 08    4.75
1986 02 09    3.45
1986 02 10    1.73
1986 02 11    4.79
1986 02 12    4.21
1986 02 13    1.82
1986 02 14    1.92
1986 02 15    2.26
1986 02 16    2.68
1986 02 17    4.65
1986 02 18    1.95
1986 02 19    3.04
1986 02 20    4.99
1986 02 21    5.45
1986 02 22    5.44
1986 02 23    4.55
1986 02 24    5.41
1986 02 25    2.61
1986 02 26    4.94
1986 02 27    5.79
1986 02 28    5.80
1986 03 01    4.16
1986 03 02    4.61
1986 03 03    5.57
1986 03 04    5.32
1986 03 05    4.77
1986 03 06    3.86
1986 03 07    2.20
1986 03 08    1.31
1986 03 09    3.40
1986 03 10    4.62
1986 03 11    2.15
1986 03 12    3.03
1986 03 13    4.13
1986 03 14    4.19
1986 03 15    1.06
1986 03 16    2.23
1986 03 17    3.68
1986 03 18    2.89
1986 03 19    2.75
1986 03 20    3.40
1986 03 21    4.69
1986 03 22    5.31
1986 03 23    3.27
1986 03 24    1.95
1986 03 25    2.19
1986 03 26    2.02
1986 03 27    6.55
1986 03 28    6.86
1986 03 29    6.42
1986 03 30    6.20
1986 03 31    3.02
1986 04 01    6.25
1986 04 02    4.75
1986 04 03    5.10
1986 04 04    7.30
1986 04 05    1.78
1986 04 06    5.22
1986 04 07    5.38
1986 04 08    2.38
1986 04 09    2.99
1986 04 10    3.21
1986 04 11    4.42
1986 04 12    6.13
1986 04 13    5.49
1986 04 14    5.33
1986 04 15    4.39
1986 04 16    4.05
1986 04 17    5.13
1986 04 18    6.09
1986 04 19    3.71
1986 04 20    4.48
1986 04 21    5.04
1986 04 22    4.14
1986 04 23    4.24
1986 04 24    6.09
1986 04 25    4.68
1986 04 26    5.25
1986 04 27    5.55
1986 04 28    4.89
1986 04 29    4.28
1986 04 30    5.13
1986 05 01    5.02
1986 05 02    4.31
1986 05 03    2.11
1986 05 04    0.77
1986 05 05    6.72
1986 05 06    6.94
1986 05 07    7.80
1986 05 08    6.88
1986 05 09    6.71
1986 05 10    3.04
1986 05 11    7.86
1986 05 12    6.07
1986 05 13    5.80
1986 05 14    6.57
1986 05 15    6.67
1986 05 16    6.50
1986 05 17    7.93
1986 05 18    6.39
1986 05 19    6.69
1986 05 20    7.42
1986 05 21    2.69
1986 05 22    5.97
1986 05 23    7.60
1986 05 24    4.30
1986 05 25    6.88
1986 05 26    5.61
1986 05 27    7.74
1986 05 28    6.97
1986 05 29    4.48
1986 05 30    7.38
1986 05 31    8.50
1986 06 01    8.32
1986 06 02    7.83
1986 06 03    8.02
1986 06 04    7.43
1986 06 05    7.79
1986 06 06    7.03
1986 06 07    6.78
1986 06 08    7.29
1986 06 09    5.46
1986 06 10    6.70
1986 06 11    7.54
1986 06 12    7.44
1986 06 13    6.85
1986 06 14    8.00
1986 06 15    7.68
1986 06 16    7.59
1986 06 17    7.87
1986 06 18    8.92
1986 06 19    8.01
1986 06 20    7.41
1986 06 21    7.55
1986 06 22    8.17
1986 06 23    7.84
1986 06 24    8.12
1986 06 25    7.22
1986 06 26    7.58
1986 06 27    8.28
1986 06 28    8.04
1986 06 29    7.22
1986 06 30    7.45
1986 07 01    6.72
1986 07 02    8.07
1986 07 03    6.97
1986 07 04    6.76
1986 07 05    7.34
1986 07 06    7.49
1986 07 07    7.76
1986 07 08    7.40
1986 07 09    7.47
1986 07 10    6.62
